replay_file,signal_time,bar_time,bar_end_time,side,signal_before_completion,seconds_before_completion,bar_age_at_signal,bar_open,bar_high,bar_low,bar_close,bar_volume,bar_range,num_bars
replay_20251230_001200_long.csv,2025-12-30T00:12:00+00:00,2025-12-30T00:12:00+00:00,2025-12-30T00:15:00+00:00,long,True,180.0,0.0,4360.5,4363.1,4360.4,4362.3,774.0,2.7000000000007276,485
replay_20251230_003000_long.csv,2025-12-30T00:30:00+00:00,2025-12-30T00:30:00+00:00,2025-12-30T00:33:00+00:00,long,True,180.0,0.0,4364.4,4364.4,4360.2,4361.4,714.0,4.199999999999818,491
replay_20251230_003900_short.csv,2025-12-30T00:39:00+00:00,2025-12-30T00:39:00+00:00,2025-12-30T00:42:00+00:00,short,True,180.0,0.0,4359.9,4359.9,4355.4,4356.9,842.0,4.5,494
replay_20251230_010000_short.csv,2025-12-30T01:00:00+00:00,2025-12-30T01:00:00+00:00,2025-12-30T01:03:00+00:00,short,True,180.0,0.0,4354.7,4355.3,4345.1,4349.6,2282.0,10.199999999999818,500
replay_20251230_010300_short.csv,2025-12-30T01:03:00+00:00,2025-12-30T01:03:00+00:00,2025-12-30T01:06:00+00:00,short,True,180.0,0.0,4349.5,4351.6,4339.0,4339.6,2241.0,12.600000000000364,499
replay_20251230_013900_long.csv,2025-12-30T01:39:00+00:00,2025-12-30T01:39:00+00:00,2025-12-30T01:42:00+00:00,long,True,180.0,0.0,4355.1,4359.1,4353.4,4358.4,798.0,5.700000000000728,500
replay_20251230_021200_long.csv,2025-12-30T02:12:00+00:00,2025-12-30T02:12:00+00:00,2025-12-30T02:15:00+00:00,long,True,180.0,0.0,4368.6,4369.4,4365.4,4368.9,923.0,4.0,500
replay_20251230_023600_long.csv,2025-12-30T02:36:00+00:00,2025-12-30T02:36:00+00:00,2025-12-30T02:39:00+00:00,long,True,180.0,0.0,4364.9,4368.0,4362.6,4367.8,863.0,5.399999999999636,500
replay_20251230_030600_long.csv,2025-12-30T03:06:00+00:00,2025-12-30T03:06:00+00:00,2025-12-30T03:09:00+00:00,long,True,180.0,0.0,4377.0,4377.6,4372.8,4373.2,636.0,4.800000000000182,500
replay_20251230_042400_long.csv,2025-12-30T04:24:00+00:00,2025-12-30T04:24:00+00:00,2025-12-30T04:27:00+00:00,long,True,180.0,0.0,4377.0,4380.0,4376.5,4378.2,516.0,3.5,500
replay_20251230_060900_long.csv,2025-12-30T06:09:00+00:00,2025-12-30T06:09:00+00:00,2025-12-30T06:12:00+00:00,long,True,180.0,0.0,4387.0,4391.0,4386.7,4390.9,299.0,4.300000000000182,500
replay_20251230_071200_long.csv,2025-12-30T07:12:00+00:00,2025-12-30T07:12:00+00:00,2025-12-30T07:15:00+00:00,long,True,180.0,0.0,4377.0,4383.9,4376.7,4383.6,812.0,7.199999999999818,500
replay_20251230_075700_long.csv,2025-12-30T07:57:00+00:00,2025-12-30T07:57:00+00:00,2025-12-30T08:00:00+00:00,long,True,180.0,0.0,4387.9,4389.1,4385.9,4388.2,491.0,3.2000000000007276,499
replay_20251230_080600_long.csv,2025-12-30T08:06:00+00:00,2025-12-30T08:06:00+00:00,2025-12-30T08:09:00+00:00,long,True,180.0,0.0,4383.0,4386.7,4382.5,4386.6,596.0,4.199999999999818,500
replay_20251230_121200_long.csv,2025-12-30T12:12:00+00:00,2025-12-30T12:12:00+00:00,2025-12-30T12:15:00+00:00,long,True,180.0,0.0,4407.1,4412.8,4406.2,4411.7,1648.0,6.600000000000364,499
replay_20251230_122400_long.csv,2025-12-30T12:24:00+00:00,2025-12-30T12:24:00+00:00,2025-12-30T12:27:00+00:00,long,True,180.0,0.0,4413.9,4414.5,4408.9,4409.2,1092.0,5.600000000000364,500
replay_20251230_133900_short.csv,2025-12-30T13:39:00+00:00,2025-12-30T13:39:00+00:00,2025-12-30T13:42:00+00:00,short,True,180.0,0.0,4399.1,4400.5,4393.1,4393.8,1578.0,7.399999999999636,499
replay_20251230_142400_short.csv,2025-12-30T14:24:00+00:00,2025-12-30T14:24:00+00:00,2025-12-30T14:27:00+00:00,short,True,180.0,0.0,4401.5,4402.2,4399.7,4401.0,519.0,2.5,500
replay_20251230_145400_short.csv,2025-12-30T14:54:00+00:00,2025-12-30T14:54:00+00:00,2025-12-30T14:57:00+00:00,short,True,180.0,0.0,4384.0,4386.7,4378.9,4382.1,2223.0,7.800000000000182,499
replay_20251230_150000_short.csv,2025-12-30T15:00:00+00:00,2025-12-30T15:00:00+00:00,2025-12-30T15:03:00+00:00,short,True,180.0,0.0,4381.3,4387.3,4379.0,4379.5,2328.0,8.300000000000182,499
replay_20251230_165400_long.csv,2025-12-30T16:54:00+00:00,2025-12-30T16:54:00+00:00,2025-12-30T16:57:00+00:00,long,True,180.0,0.0,4384.9,4392.3,4384.5,4391.5,1459.0,7.800000000000182,500
replay_20251230_165700_short.csv,2025-12-30T16:57:00+00:00,2025-12-30T16:57:00+00:00,2025-12-30T17:00:00+00:00,short,True,180.0,0.0,4391.6,4396.1,4390.5,4393.6,2222.0,5.600000000000364,500
replay_20251230_173000_long.csv,2025-12-30T17:30:00+00:00,2025-12-30T17:30:00+00:00,2025-12-30T17:33:00+00:00,long,True,180.0,0.0,4390.4,4391.9,4388.6,4389.8,559.0,3.2999999999992724,499
replay_20251230_174500_short.csv,2025-12-30T17:45:00+00:00,2025-12-30T17:45:00+00:00,2025-12-30T17:48:00+00:00,short,True,180.0,0.0,4383.8,4384.8,4379.7,4381.5,1017.0,5.100000000000364,500
replay_20251230_184500_short.csv,2025-12-30T18:45:00+00:00,2025-12-30T18:45:00+00:00,2025-12-30T18:48:00+00:00,short,True,180.0,0.0,4381.2,4381.7,4378.1,4380.6,638.0,3.5999999999994543,500
